sample,conc,GEF_conc,model,perc_curve,date
C1,12,3,linear_model,NA,20230811
C2,10,3,linear_model,NA,20230811
C3,6,3,exponential_model,NA,20230811
C4,5,3,exponential_model,NA,20230811
C5,3,3,exponential_model,NA,20230811
C6,2.5,3,exponential_model,NA,20230811
C7,2,3,exponential_model,NA,20230811
C8,1.5,3,exponential_model,NA,20230811
C9,1.25,3,exponential_model,NA,20230811
C10,1,3,exponential_model,NA,20230811
C11,0.5,3,exponential_model,NA,20230811
C12,0.25,3,exponential_model,NA,20230811